rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
45.7,110.17,271.82,27.37,15.27,1.38,27.3,16.1,1.47,0.5036,-0.1375,1158.0,0.98,231.0,1
49.34,85.68,583.93,25.06,17.85,3.95,25.06,17.85,3.95,0.6978,0.0864,1398.0,8.55,1220.6,0
49.34,85.68,583.93,25.06,17.85,3.95,25.06,17.85,3.95,0.6978,0.0864,1398.0,8.55,1220.6,0
0.0,96.11,348.02,29.46,8.4,2.34,30.11,5.54,2.62,0.8479,0.0074,1581.0,2.18,562.9,0
24.5,85.9,559.55,27.42,13.02,2.7,24.05,17.75,3.62,0.6517,-0.0054,1609.0,5.68,3553.8,0
48.58,219.29,407.57,25.54,17.79,3.69,23.49,19.04,4.08,-0.1304,-0.1319,1134.0,0.0,1338.5,0
0.0,142.9,302.13,27.06,7.48,1.17,27.66,7.64,1.18,0.5341,-0.0547,1422.0,4.66,486.6,0
6.89,95.19,652.36,28.42,12.84,2.51,27.18,14.67,1.46,0.6686,0.0653,1282.0,8.71,2334.3,0
0.0,30.8,386.98,24.4,11.75,1.53,26.41,9.03,0.65,0.6296,-0.0012,1590.0,5.16,259.1,0
0.0,40.92,385.37,26.17,13.26,2.07,28.21,11.19,0.44,0.603,-0.0166,1448.0,0.69,1174.5,0
49.34,85.68,583.93,25.06,17.85,3.95,25.06,17.85,3.95,0.6978,0.0864,1398.0,8.55,1220.6,0
0.0,68.1,492.13,28.22,11.67,2.99,30.2,11.22,1.67,0.5426,-0.026,1134.0,2.18,131.6,0
28.75,135.21,361.31,21.71,16.23,1.6,20.57,16.41,1.48,0.7676,0.0922,2118.0,9.61,2871.4,0
25.66,86.59,242.38,20.69,8.54,2.08,22.77,5.33,0.82,0.8998,0.0205,2214.0,8.71,109.7,0
10.22,32.51,304.87,24.13,9.02,1.68,25.31,7.12,2.4,0.7857,0.0287,1936.0,2.54,2738.2,0
67.31,194.33,388.16,26.14,17.55,3.3,26.0,17.75,3.18,0.6576,0.1576,1227.0,4.71,838.0,0
25.66,86.59,242.38,20.69,8.54,2.08,22.77,5.33,0.82,0.8998,0.0205,2214.0,8.71,109.7,0
39.91,87.67,315.69,24.47,10.6,0.98,26.46,7.63,0.81,0.8356,-0.0101,2010.0,3.45,2293.2,0
111.68,330.65,555.38,23.3,17.15,2.88,24.99,16.19,3.07,0.6616,0.1278,1477.0,10.2,2031.3,0
0.0,138.85,321.45,27.06,7.48,1.17,27.66,7.64,1.18,0.6621,0.0242,1469.0,1.8,31.4,0
0.0,87.6,815.51,24.82,14.04,1.77,24.04,15.02,1.6,0.7962,0.0884,1504.0,9.1,601.3,0
10.64,85.7,301.48,24.16,10.32,1.24,24.81,8.6,2.62,0.6485,-0.0194,1837.0,7.84,2650.4,0
63.33,201.1,355.71,21.74,16.26,2.04,22.58,15.56,1.23,0.7688,0.0235,1908.0,14.7,1168.1,0
19.72,111.0,251.87,27.34,13.35,2.54,26.54,13.88,3.28,0.6199,0.0335,1208.0,1.24,1665.6,0
0.0,138.85,321.45,27.06,7.48,1.17,27.66,7.64,1.18,0.6621,0.0242,1469.0,1.8,31.4,0
0.0,132.83,746.64,20.3,18.24,1.73,20.3,18.24,1.73,0.8675,0.0178,1598.0,5.97,779.2,0
25.66,86.59,242.38,20.9,8.29,1.92,22.54,5.53,1.62,0.8998,0.0205,2214.0,8.71,109.7,0
79.06,187.97,381.98,26.19,17.7,3.31,26.08,17.71,3.42,0.6576,0.1576,1227.0,4.71,838.0,0
0.0,30.8,386.98,24.4,11.75,1.53,26.41,9.03,0.65,0.6296,-0.0012,1590.0,5.16,259.1,0
46.67,212.19,394.83,25.39,17.7,3.71,23.37,18.71,4.09,-0.1428,-0.1914,1134.0,0.0,923.3,0
0.0,105.86,274.71,25.39,4.61,2.88,26.0,4.03,2.19,0.6035,0.0301,2129.0,1.95,1551.4,0
92.74,165.4,772.73,20.67,16.13,3.06,20.67,16.13,3.06,0.6083,-0.138,1679.0,5.05,1928.5,0
0.0,27.06,344.41,26.64,15.82,2.47,25.04,16.12,2.79,0.5027,-0.0244,1147.0,0.62,348.4,0
39.91,87.67,315.69,24.47,10.6,0.98,26.46,7.63,0.81,0.8356,-0.0101,2010.0,3.45,2293.2,0
0.0,35.93,323.73,27.24,15.85,2.13,25.54,16.43,2.17,0.4945,-0.1088,1282.0,8.71,2334.3,0
10.22,32.51,304.87,24.13,9.02,1.68,25.31,7.12,2.4,0.7857,0.0287,1936.0,2.54,2738.2,0
39.94,115.6,551.04,26.1,17.28,2.6,26.1,17.28,2.6,0.594,0.132,1154.0,0.44,974.1,0
6.48,89.48,856.91,26.94,14.02,2.98,26.28,14.53,1.61,0.4297,-0.1389,1134.0,2.18,131.6,0
2.29,39.93,260.79,28.49,12.93,2.71,28.92,13.62,3.8,0.6808,0.1139,1144.0,0.62,543.9,0
143.39,296.98,504.55,26.57,15.41,2.32,23.21,17.36,3.17,0.6509,0.1013,1468.0,3.1,314.8,0
