key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
2848580846,"Gymnobucco bonapartei cinereiceps Sharpe, 1891",-0.351,35.319,2020-03-10,2020,cell_0298,False
4029735584,"Ardea melanocephala Children & Vigors, 1826",-0.04125,34.79125,2022-12-23,2022,cell_0100,False
1883745767,"Hipposideros caffer (Sundevall, 1846)",-0.11742,34.54124,2015-03-17,2015,cell_0016,False
911792057,Isoglossa Oerst.,-0.45472,34.86111,2012-12-03,2012,cell_0130,False
911791902,Acanthaceae,-0.4575,34.86083,2012-12-03,2012,cell_0130,False
2668664298,"Ceblepyris caesius Lichtenstein & Mhc, 1823",0.0724,34.97738,2019-05-02,2019,cell_0181,False
1986732273,"Alcedo cristata cristata Pallas, 1764",-0.166667,34.783333,2017-06-01,2017,cell_0098,False
6273598658,"Passer griseus (Vieillot, 1817)",-0.476089,34.834648,2026-05-05T12:12,2026,cell_0110,False
1415643268,BOLD:ABU9728,0.252,34.92,2012-06-25,2012,cell_0164,False
6171430160,Duranta erecta L.,-0.541301,34.824952,2026-03-01T09:17:17,2026,cell_0109,False
4976342516,"Trachylepis striata (Peters, 1844)",-0.365434,35.290661,2024-10-21T10:17,2024,cell_0283,False
3498782979,"Ploceus cucullatus (Statius Muller, 1776)",-0.29125,34.79125,2022-02-24,2022,cell_0095,False
2669519574,"Chrysococcyx caprius (Boddaert, 1783)",0.148795,34.880146,2019-05-04,2019,cell_0142,False
4852021607,"Stephanoaetus coronatus (Linnaeus, 1766)",0.218489,34.829132,2024-03-12T06:07,2024,cell_0124,False
1413924304,BOLD:AAQ1889,-0.43,35.3,2012-03-05,2012,cell_0296,False
1986741901,"Bubulcus ibis (Linnaeus, 1758)",-0.09,34.776,2018-01-02,2018,cell_0099,False
46821948,"Ceratitis caetrata Munro, 1949",-0.166667,35.0667,2000-04-09,2000,cell_0216,False
1415643722,BOLD:ABA9340,0.228,34.963,2012-09-12,2012,cell_0184,False
2882955668,"Junonia Hübner, 1819",-0.420978,35.315742,2020-10-05T12:02:35,2020,cell_0297,False
577872221,"Apus apus (Linnaeus, 1758)",-0.051124,34.921116,2011-01-20,2011,cell_0158,False
46822373,"Ceratitis capitata (Wiedemann, 1824)",-0.269722,35.1614,2001-07-30,2001,cell_0251,False
835302175,"Melaenornis fischeri (Reichenow, 1884)",-0.393,35.237144,2012-07-17,2012,cell_0266,False
1416040605,BOLD:ACG9240,0.11,35.25,2011-12-04,2011,cell_0292,False
4919720472,"Cuculus solitarius Stephens, 1815",-0.153851,34.819122,2024-05-01T18:03:11,2024,cell_0117,False
3926511945,"Cecropis abyssinica (Guerin-Meneville, 1843)",-0.124583,35.207917,2022-08-03,2022,cell_0272,False
1200328577,"Nectarinia kilimensis Shelley, 1885",0.259208,35.088444,2013-05-12,2013,cell_0224,False
2979481808,"Calicophoron Näsmark, 1937",-0.318111,35.00689,2017-02-17,2017,cell_0193,False
3415697372,"Junonia Hübner, 1819",-0.352985,35.327387,2021-11-16T12:29,2021,cell_0298,False
1883745394,"Hipposideros caffer (Sundevall, 1846)",-0.11742,34.54124,2015-03-17,2015,cell_0016,False
4465509408,Solanum aculeastrum Dunal,0.182518,35.162113,2023-12-07T17:17,2023,cell_0260,False
3819426872,"Uraeginthus ianthinogaster Reichenow, 1879",-0.457917,34.874583,2022-05-14,2022,cell_0130,False
3819425117,"Amaurornis flavirostra (Swainson, 1837)",-0.457917,34.624583,2022-06-15,2022,cell_0039,False
4165353690,"Cossypha heuglini Hartlaub, 1866",-0.33944,34.509961,2023-07-18T03:18:57,2023,cell_0011,False
3819425175,"Empidornis semipartitus (Rüppell, 1840)",-0.374583,34.624583,2022-06-21,2022,cell_0041,False
3347171521,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False
3326300577,"Chlorocichla laetissima (Sharpe, 1899)",0.20875,34.957917,2021-07-11,2021,cell_0183,False
953063425,"Lophaetus occipitalis (Daudin, 1800)",-0.046692,34.823914,2011-02-02,2011,cell_0119,False
3306584219,"Bleda syndactylus (Swainson, 1837)",0.042083,35.04125,2017-02-27,2017,cell_0200,False
6171272590,Crassocephalum vitellinum (Benth.) S.Moore,-0.541353,34.814636,2026-02-22T09:49:12,2026,cell_0109,False
1415643701,BOLD:ACG6009,0.228,34.963,2012-09-12,2012,cell_0184,False
4908824626,"Equus quagga Boddaert, 1785",-0.046681,34.712865,2024-06-02T14:00:53,2024,cell_0081,False
1099972962,"Eidolon helvum (Kerr, 1792)",-0.06794,34.501676,2015-07-03,2015,cell_0006,False
3306643431,"Lophaetus occipitalis (Daudin, 1800)",0.042083,35.04125,2019-04-14,2019,cell_0200,False
3306568590,"Hirundo rustica Linnaeus, 1758",0.125417,34.957917,2015-12-31,2015,cell_0182,False
4400826946,"Philothamnus semivariegatus (Smith, 1840)",-0.125,34.875,2023-04-26,2023,cell_0137,False
2005653561,"Leptailurus serval (Schreber, 1776)",-0.125,34.625,2012-12-26,2012,cell_0046,False
46821955,"Ceratitis caetrata Munro, 1949",-0.269722,35.1614,2001-06-08,2001,cell_0251,False
1986736574,"Apus barbatus (P.L.Sclater, 1866)",-0.02047,34.87033,2017-08-05,2017,cell_0139,False
4903818849,"Caridina nilotica (P.Roux, 1833)",-0.192315,34.953693,2024-05-19T11:13,2024,cell_0175,False
3926511947,"Apus affinis (J.E.Gray, 1830)",-0.124583,35.207917,2022-08-03,2022,cell_0272,False
3306567685,Milvus parasiticus,0.125417,34.957917,2015-12-19,2015,cell_0182,False
577134749,"Actophilornis africanus (J.F.Gmelin, 1789)",-0.167091,34.871765,2011-07-14,2011,cell_0136,False
958752205,"Hedydipna collaris (Vieillot, 1819)",0.290505,34.83902,2013-06-06,2013,cell_0126,False
4165466897,"Mycteria ibis (Linnaeus, 1766)",-0.33944,34.509961,2023-07-18T07:14:32,2023,cell_0011,False
1986748523,"Ceryle rudis (Linnaeus, 1758)",-0.074895,34.708186,2017-09-06,2017,cell_0081,False
